ID;Nome Fantasia;% de mercado;Nacionalidade;Associado;Tipo de Associado;Cidade;Estado;País
1108;Empresa 1108;0,19%;Nacional;Sim;Cooperador;São José da Lapa;Minas Gerais;Brasil
1121;Empresa 1121;0,18%;Nacional;Sim;Cooperador;Caruaru;Pernambuco;Brasil
454;Empresa 454;0,17%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
83;Empresa 83;0,16%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
1166;Empresa 1166;0,16%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;BRASIL
1148;Empresa 1148;0,15%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
143;Empresa 143;0,14%;Multinacional;Sim;Efetivo;Rio de Janeiro;Rio de Janeiro;Brasil
231;Empresa 231;0,14%;Nacional;Sim;Cooperador;PEDRAS GRANDES;Santa Catarina;BRASIL
33;Empresa 33;0,13%;Multinacional;Sim;Efetivo;Porto Alegre;Rio Grande do Sul;Brasil
1220;Empresa 1220;0,12%;Nacional;Sim;Cooperador;Belo Horizonte;Minas Gerais;Brasil
79;Empresa 79;0,12%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
1265;Empresa 1265;0,12%;;Sim;Cooperador;;;
34;Empresa 34;0,12%;Nacional;Sim;Efetivo;Cotia;São Paulo;Brasil
90;Empresa 90;0,12%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
661;Empresa 661;0,12%;Nacional;Sim;Cooperador;Colombo;Paraná;Brasil
132;Empresa 132;0,11%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
403;Empresa 403;0,11%;Multinacional;-;Fornecedor de Bens e Serviços;São Paulo;São Paulo;Brasil
1163;Empresa 1163;0,10%;Multinacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
1268;Empresa 1268;0,10%;;Sim;;;;
592;Empresa 592;0,09%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
72;Empresa 72;0,09%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
1178;Empresa 1178;0,09%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
77;Empresa 77;0,09%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
1072;Empresa 1072;0,09%;Nacional;Sim;Cooperador;Betim;Minas Gerais;Brasil
793;Empresa 793;0,08%;Multinacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
41;Empresa 41;0,08%;Nacional;Sim;Efetivo;Atibaia;São Paulo;Brasil
38;Empresa 38;0,08%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
